label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,0.0,0.0,-0.10100352764129639,-0.07402241230010986,-0.1528327465057373,-0.19789260625839233,-0.15230780839920044,-0.31663283705711365,-0.1511697769165039,-0.41200631856918335,-0.07788640260696411,-0.30909663438796997,-0.09803533554077148,-0.3989919424057007,-0.10029470920562744,-0.3043676018714905,-0.08417275547981262,-0.25740712881088257,-0.026632726192474365,-0.3158687353134155,-0.04748660326004028,-0.4141892194747925,-0.05443763732910156,-0.2954068183898926,-0.03235703706741333,-0.25746971368789673,0.029194176197052002,-0.31076645851135254,0.01088869571685791,-0.4189230501651764,-0.003650069236755371,-0.302459180355072,0.014032304286956787,-0.2574390769004822,0.09328538179397583,-0.2912909984588623,0.07448726892471313,-0.3909224271774292,0.051992833614349365,-0.31171703338623047,0.05987447500228882,-0.2644190192222595
A,0.0,0.0,-0.027279257774353027,-0.14596712589263916,0.01689547300338745,-0.3146165609359741,0.07360410690307617,-0.4259891211986542,0.11777761578559875,-0.5112686157226562,0.13199922442436218,-0.3324413299560547,0.16777199506759644,-0.4343978762626648,0.10327687859535217,-0.36170369386672974,0.08410662412643433,-0.3104308247566223,0.1682896912097931,-0.2674705982208252,0.18206843733787537,-0.3501456379890442,0.09980186820030212,-0.26797348260879517,0.10769620537757874,-0.23597079515457153,0.19435036182403564,-0.18863612413406372,0.20667022466659546,-0.2615976929664612,0.12543067336082458,-0.19443154335021973,0.1313152015209198,-0.16487687826156616,0.21474623680114746,-0.10249054431915283,0.22458064556121826,-0.16755437850952148,0.16331973671913147,-0.13714230060577393,0.16040685772895813,-0.11073052883148193
A,0.0,0.0,-0.07446891069412231,-0.06556123495101929,-0.12184172868728638,-0.18302053213119507,-0.12794607877731323,-0.28630274534225464,-0.1198287308216095,-0.3687031865119934,-0.06075698137283325,-0.2990146577358246,-0.07850760221481323,-0.406760036945343,-0.08801952004432678,-0.31516233086586,-0.07850679755210876,-0.26321181654930115,-0.015275448560714722,-0.3037707507610321,-0.03712105751037598,-0.4173939824104309,-0.049195319414138794,-0.3031453490257263,-0.031622886657714844,-0.26121994853019714,0.03590098023414612,-0.29767146706581116,0.021739661693572998,-0.41852930188179016,0.004503071308135986,-0.3093118965625763,0.01753413677215576,-0.262514591217041,0.09326794743537903,-0.2776859700679779,0.08271470665931702,-0.37990397214889526,0.058491796255111694,-0.3105756640434265,0.06072893738746643,-0.2655121684074402
B,0.0,0.0,-0.020298808813095093,-0.1557942032814026,0.007780909538269043,-0.24448567628860474,0.031524062156677246,-0.3024625778198242,0.055267155170440674,-0.3408334255218506,0.15242928266525269,-0.31110382080078125,0.17649471759796143,-0.43566691875457764,0.19629746675491333,-0.526121199131012,0.21631234884262085,-0.5936824083328247,0.16754138469696045,-0.29954463243484497,0.19881325960159302,-0.4685644507408142,0.22283107042312622,-0.5753011703491211,0.2477179765701294,-0.6579059660434723,0.16446149349212646,-0.29302895069122314,0.19763213396072388,-0.4658215641975403,0.22602760791778564,-0.5720019042491913,0.2560235261917114,-0.6569922566413879,0.1480320692062378,-0.30426597595214844,0.18980854749679565,-0.4455455541610718,0.21600651741027832,-0.530084878206253,0.24357962608337402,-0.6015822291374207
B,0.0,0.0,-0.08701825141906738,-0.06439125537872314,-0.13318023085594177,-0.19711697101593018,-0.12555944919586182,-0.29735827445983887,-0.08457744121551514,-0.2664330005645752,-0.06292486190795898,-0.3685903251171112,-0.06292799115180969,-0.5068466365337372,-0.061835139989852905,-0.5942242443561554,-0.05921795964241028,-0.671676516532898,-0.00876617431640625,-0.38201993703842163,-0.008676350116729736,-0.5411181449890137,-0.009700238704681396,-0.6440557241439819,-0.011295557022094727,-0.7323275804519653,0.040780067443847656,-0.36228224635124207,0.04222375154495239,-0.5153084993362427,0.04115778207778931,-0.6094871461391449,0.03752416372299194,-0.6933834850788116,0.090706467628479,-0.3172471523284912,0.09128063917160034,-0.4376269578933716,0.0892905592918396,-0.5153571963310242,0.08412319421768188,-0.5875739455223083
C,0.0,0.0,-0.08387631177902222,-0.056670963764190674,-0.14229470491409302,-0.11988478899002075,-0.18588948249816895,-0.15199056267738342,-0.19810080528259277,-0.19774898886680603,-0.046060383319854736,-0.2494523525238037,-0.09569290280342102,-0.33262014389038086,-0.15089952945709229,-0.3338553011417389,-0.19412490725517273,-0.3090212941169739,-0.031824469566345215,-0.2517855763435364,-0.10431000590324402,-0.3519580215215683,-0.1683991551399231,-0.34194566309452057,-0.20249414443969727,-0.2986297905445099,-0.02893105149269104,-0.24259865283966064,-0.09314638376235962,-0.34498099982738495,-0.15937387943267822,-0.3376689851284027,-0.1985996961593628,-0.29930683970451355,-0.041399091482162476,-0.22387591004371643,-0.09267765283584595,-0.30423662066459656,-0.1424921751022339,-0.3117828369140625,-0.17991483211517334,-0.2932242751121521
C,0.0,0.0,0.06747680902481079,0.05414336919784546,0.14426791667938232,0.05860602855682373,0.21989166736602783,0.04907959699630737,0.274833083152771,-0.010335922241210938,0.10222792625427246,-0.178076833486557,0.21038103103637695,-0.27646054327487946,0.2805347442626953,-0.22929435968399048,0.3081285357475281,-0.1685265302658081,0.10044223070144653,-0.20920640230178833,0.21686607599258423,-0.30562981963157654,0.2826610803604126,-0.23377513885498047,0.30234575271606445,-0.15272918343544006,0.11033913493156433,-0.2190919816493988,0.21029001474380493,-0.28968872129917145,0.26724088191986084,-0.22686871886253357,0.2845168709754944,-0.15918800234794617,0.12171676754951477,-0.22234168648719788,0.194162517786026,-0.26203784346580505,0.23972851037979126,-0.2274704873561859,0.2616760730743408,-0.1818704605102539
C,0.0,0.0,0.11392144858837128,0.016796112060546875,0.21007482707500458,-0.021026134490966797,0.27985580265522003,-0.031832754611968994,0.33816270530223846,-0.05639958381652832,0.20302729308605194,-0.22469696402549744,0.2797275334596634,-0.31389084458351135,0.3412623554468155,-0.29098060727119446,0.378372922539711,-0.23878371715545654,0.17740167677402496,-0.23861545324325562,0.2734411209821701,-0.3469886779785156,0.33747775852680206,-0.29773467779159546,0.3636842519044876,-0.22409707307815552,0.14886130392551422,-0.2399190366268158,0.23313157260417938,-0.3419201970100403,0.30350805819034576,-0.29788053035736084,0.33599407970905304,-0.2287978231906891,0.11970020830631256,-0.21898627281188965,0.18994559347629547,-0.2994973063468933,0.25454090535640717,-0.297620952129364,0.298937126994133,-0.2668640613555908
C,0.0,0.0,0.10047647356987,-0.07038635015487671,0.15192867815494537,-0.1467326283454895,0.1964363306760788,-0.2019020915031433,0.23318584263324738,-0.24755054712295532,0.05994038283824921,-0.31199774146080017,0.15658147633075714,-0.41901881992816925,0.22399847209453583,-0.3988826870918274,0.26089097559452057,-0.35424840450286865,0.05549322068691254,-0.310236394405365,0.17080016434192657,-0.44072452187538147,0.24250544607639313,-0.40886881947517395,0.27281172573566437,-0.353602796792984,0.070513516664505,-0.28801220655441284,0.17556636035442352,-0.4203697144985199,0.2450922578573227,-0.39138707518577576,0.27479173243045807,-0.3367140293121338,0.10454399883747101,-0.24893945455551147,0.17877425253391266,-0.3550574481487274,0.23204223811626434,-0.3594449758529663,0.2615513950586319,-0.3337932229042053
D,0.0,0.0,-0.0817558765411377,-0.09724146127700806,-0.12185418605804443,-0.2063051462173462,-0.140570729970932,-0.28549307584762573,-0.15485987067222595,-0.3490297198295593,-0.022255152463912964,-0.3408445119857788,-0.04811537265777588,-0.47277262806892395,-0.06907591223716736,-0.5591807961463928,-0.08623045682907104,-0.6295947134494781,0.009029865264892578,-0.3176308870315552,-0.07544058561325073,-0.41189420223236084,-0.14798229932785034,-0.35216569900512695,-0.1768781840801239,-0.28962981700897217,0.025720536708831787,-0.2797393798828125,-0.060625672340393066,-0.3633078336715698,-0.12579408288002014,-0.29638993740081787,-0.1434495747089386,-0.23019617795944214,0.02899348735809326,-0.22816497087478638,-0.049583375453948975,-0.2954530715942383,-0.10140478610992432,-0.2536163926124573,-0.11313578486442566,-0.19578009843826294
